"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1941,2.89,2.89,0,2.89,0,"cy_min_01day_sw"
1942,1.42,1.42,0,1.42,0,"cy_min_01day_sw"
1943,1.76,1.76,0,1.76,0,"cy_min_01day_sw"
1944,0.425,0.425,0,0.425,0,"cy_min_01day_sw"
1945,2.32,2.32,0,2.32,0,"cy_min_01day_sw"
1946,3,3,0,3,0,"cy_min_01day_sw"
1947,1.93,1.93,0,1.93,0,"cy_min_01day_sw"
1948,4.64,4.64,0,4.64,0,"cy_min_01day_sw"
1949,3.17,3.17,0,3.17,0,"cy_min_01day_sw"
1950,1.7,1.7,0,1.7,0,"cy_min_01day_sw"
1951,0.85,0.85,0,0.85,0,"cy_min_01day_sw"
1952,2.55,2.55,0,2.55,0,"cy_min_01day_sw"
1953,2.12,2.12,0,2.12,0,"cy_min_01day_sw"
1954,6.17,6.17,0,6.17,0,"cy_min_01day_sw"
1955,4.36,4.36,0,4.36,0,"cy_min_01day_sw"
1956,1.76,1.76,0,1.76,0,"cy_min_01day_sw"
1957,5.66,5.66,0,5.66,0,"cy_min_01day_sw"
1958,1.81,1.81,0,1.81,0,"cy_min_01day_sw"
1959,5.78,5.78,0,5.78,0,"cy_min_01day_sw"
1960,5.18,5.18,0,5.18,0,"cy_min_01day_sw"
1961,4.25,4.25,0,4.25,0,"cy_min_01day_sw"
1962,6.17,6.17,0,6.17,0,"cy_min_01day_sw"
1963,4.98,4.98,0,4.98,0,"cy_min_01day_sw"
1964,6.34,6.34,0,6.34,0,"cy_min_01day_sw"
1965,5.24,5.24,0,5.24,0,"cy_min_01day_sw"
1966,6.74,6.74,0,6.74,0,"cy_min_01day_sw"
1967,5.8,5.8,0,5.8,0,"cy_min_01day_sw"
1968,7.53,7.53,0,7.53,0,"cy_min_01day_sw"
1969,7.33,7.33,0,7.33,0,"cy_min_01day_sw"
1970,5.8,5.8,0,5.8,0,"cy_min_01day_sw"
1971,7.56,7.56,0,7.56,0,"cy_min_01day_sw"
1972,6.37,6.37,0,6.37,0,"cy_min_01day_sw"
1973,5.92,5.92,0,5.92,0,"cy_min_01day_sw"
1974,5.32,5.32,0,5.32,0,"cy_min_01day_sw"
1975,6.65,6.65,0,6.65,0,"cy_min_01day_sw"
1976,7.28,7.28,0,7.28,0,"cy_min_01day_sw"
1977,7.08,7.08,0,7.08,0,"cy_min_01day_sw"
1978,6.51,6.51,0,6.51,0,"cy_min_01day_sw"
1979,5.46,5.46,0,5.46,0,"cy_min_01day_sw"
1980,5.6,5.6,0,5.6,0,"cy_min_01day_sw"
1981,6.13,6.13,0,6.13,0,"cy_min_01day_sw"
1982,7.35,7.35,0,7.35,0,"cy_min_01day_sw"
1983,7.07,7.07,0,7.07,0,"cy_min_01day_sw"
1984,7.14,7.14,0,7.14,0,"cy_min_01day_sw"
1985,4.35,4.35,0,4.35,0,"cy_min_01day_sw"
1986,4.55,4.55,0,4.55,0,"cy_min_01day_sw"
1987,4.55,4.55,0,4.55,0,"cy_min_01day_sw"
1988,6.22,6.22,0,6.22,0,"cy_min_01day_sw"
1989,5.25,5.25,0,5.25,0,"cy_min_01day_sw"
1990,6.72,6.72,0,6.72,0,"cy_min_01day_sw"
1991,6.49,6.49,0,6.49,0,"cy_min_01day_sw"
1992,4.9,4.9,0,4.9,0,"cy_min_01day_sw"
1993,6.11,6.11,0,6.11,0,"cy_min_01day_sw"
1994,6.32,6.32,0,6.32,0,"cy_min_01day_sw"
1995,6.25,6.25,0,6.25,0,"cy_min_01day_sw"
1996,6.61,6.61,0,6.61,0,"cy_min_01day_sw"
1997,7.19,7.19,0,7.19,0,"cy_min_01day_sw"
1998,5.8,5.8,0,5.8,0,"cy_min_01day_sw"
1999,7.72,7.72,0,7.72,0,"cy_min_01day_sw"
2000,6.72,6.72,0,6.72,0,"cy_min_01day_sw"
2001,6.01,6.01,0,6.01,0,"cy_min_01day_sw"
2002,6.5,6.5,0,6.5,0,"cy_min_01day_sw"
2003,3.8,3.8,0,3.8,0,"cy_min_01day_sw"
2004,4.59,4.59,0,4.59,0,"cy_min_01day_sw"
2005,6.7,6.7,0,6.7,0,"cy_min_01day_sw"
2006,3.49,3.49,0,3.49,0,"cy_min_01day_sw"
2007,7.25,7.25,0,7.25,0,"cy_min_01day_sw"
2008,6.41,6.41,0,6.41,0,"cy_min_01day_sw"
2009,5.62,5.62,0,5.62,0,"cy_min_01day_sw"
2010,5.73,5.73,0,5.73,0,"cy_min_01day_sw"
2011,6.91,6.91,0,6.91,0,"cy_min_01day_sw"
2012,4.71,4.71,0,4.71,0,"cy_min_01day_sw"
