"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","All data"
"P01",22,17.4,15.648,13.747,8.232,5.585,4.444,1.772,1.005,2.697,6.665,21.7,2.775
"P02",23.4,19.1,20.848,17.298,9.52,5.8,4.695,2.72,1.7,3.11,8.469,23.848,3.788
"P05",26.9,27.2,24.02,23.345,11,6.74,5.3,3.51,2.15,4.27,13.445,28.5,5.51
"P10",33.1,34,28.3,27.1,13.8,7.28,6.18,4.59,3.11,5.72,21.8,38.2,6.77
"P15",38.32,38.5,33.1,29.5,15.56,7.62,6.51,4.87,4.103,6.89,26.6,46.2,7.35
"P20",45.38,42.5,37.4,32.3,17.8,7.99,6.808,5.49,4.78,7.67,30.3,53.18,8.07
"P25",51.5,46.2,40.5,35.6,20.6,8.815,7.03,6.06,5.66,8.5,34.3,58.9,10.2
"P30",56.6,50.5,43.3,38.1,23.6,10.1,7.242,6.34,6.09,9.85,39.1,64.32,13.4
"P35",60.34,54.195,46.2,41,25.7,11.8,7.41,6.63,6.43,11,43.6,70,17.3
"P40",65.46,57.8,49.3,43.3,28.26,13.2,7.626,6.83,6.76,12.5,48.4,75.52,22.8
"P45",70.7,61.565,52.68,46.305,31.1,14.4,7.94,6.97,6.99,13.78,53,81,28
"P50",75.9,66.45,55.5,49.15,34.8,15.5,8.35,7.08,7.16,15.6,58.4,85.5,33.9
"P55",81.8,71,58.02,52.1,37.5,16.9,9.032,7.22,7.36,17.7,62.795,91.24,39.6
"P60",87.2,76.6,61.4,55.2,39.6,18.9,9.914,7.35,7.554,20.5,68.8,96.74,45.2
"P65",93.2,83,65.1,57.8,42.06,20.9,10.7,7.48,7.809,23.26,75.6,103,51.5
"P70",99.96,88.6,69.7,60.9,44.7,23.13,11.7,7.62,8.503,27.6,81.3,110,58
"P75",108,95.65,75.2,64.175,48.9,26,12.7,7.82,9.408,31.1,86.975,116,65.1
"P80",118,103,82.2,68.8,53.94,29.4,14.44,8.29,11,38.2,96,124.2,74.1
"P85",129,114,90.42,73.9,58.64,34,16.64,8.98,13.4,45.3,104,136,85.3
"P90",143,131,101,81,64.72,40.51,20.06,10.2,16,55.2,120,147,100
"P95",172,151,124.8,89.5,71.48,48.7,25.28,12.58,20.355,74.74,159.55,171.8,127
"P98",198.52,178,140,97.706,77.952,58.906,33.952,15.9,29.818,96,202,200.52,158
"P99",219.52,196.66,157.76,107.51,82.552,65.051,38.428,17.5,37.955,108,213.51,221.04,185
